0 2 output/rmfs//2.rmf3 6800 7825  |  627.749080302 20.8034114033 0.958549  |  37.0715835846 29.4819543598 146.782312477 13 13 59 0.439517399885 0.482514586868 0.478674192584  |  55.0009453463 15.4797600409 26.0420588316 84 51 33 0.0747154301304 0.0108492066637 0.0132359291248
0 2 output/rmfs//2.rmf3 6801 7826  |  623.137028479 18.7141875757 0.755444  |  36.6812551418 28.9778089544 146.713994901 13 13 60 0.447704795862 0.482514586868 0.474519921701  |  54.4110008297 15.3543045022 26.3991999408 84 51 33 0.0275684903823 0.0108492066637 0.049037526583
0 2 output/rmfs//2.rmf3 6802 7827  |  618.891742713 12.5569537402 4.15134  |  36.1280054877 29.3912502765 146.245027029 13 12 57 0.488370334972 0.487417801283 0.481802069659  |  54.5074244015 14.7783712098 26.5310330362 84 51 33 0.0378395002542 0.0108492066637 0.049037526583
0 2 output/rmfs//2.rmf3 6957 8110  |  629.380596878 10.5032863846 0.67986  |  36.2245057077 30.0773835925 149.850710801 13 14 57 0.489186966627 0.487356135809 0.486542153053  |  55.0767964825 15.8632192338 28.281803792 84 51 33 0.0266873237119 0.0212675894654 0.0537694857701
0 2 output/rmfs//2.rmf3 7061 8258  |  650.533590013 19.2696279711 2.48599  |  36.8030918334 30.1820831847 152.214422021 13 13 52 0.488744419683 0.469690232754 0.477244714137  |  57.955792415 15.2967062297 28.4503265219 84 51 33 0.0651920567429 0.0108669796686 0.02835074745
0 2 output/rmfs//2.rmf3 7063 8260  |  656.020286051 19.537901773 2.0569  |  36.7068909143 29.3356298874 153.325743418 14 13 56 0.481757912815 0.484687170262 0.462354568731  |  58.3655709159 16.2038036662 28.9019450831 84 51 33 0.0720042038663 0.027109486922 0.0614955655543
0 2 output/rmfs//2.rmf3 7373 8778  |  632.913735374 23.3642716354 0.679299  |  36.6469067714 29.254121777 151.307350483 13 13 53 0.483273254594 0.475188197724 0.477571324498  |  51.8029903244 15.8591945504 26.5043211355 84 51 33 0.0166838506683 0.0123281059517 0.0415790474069
0 2 output/rmfs//2.rmf3 7374 8779  |  632.806695547 20.2825361162 6.38182  |  36.4976238862 29.9860952649 149.686297743 13 13 56 0.483273254594 0.423248027701 0.489349139516  |  51.2686653063 15.2441507235 27.2899991555 85 51 33 0.0214971384853 0.0123281059517 0.0381601862897
0 2 output/rmfs//2.rmf3 7375 8780  |  630.341056464 19.2716372291 2.42643  |  37.1893825093 28.8060424092 148.932023156 13 13 57 0.476260394659 0.431074801072 0.489349139516  |  52.7610084193 15.6241539491 27.7749882891 84 51 33 0.0214971384853 0.0123281059517 0.0498590314602
10 5 output/rmfs//5.rmf3 635 9562  |  639.1961361 17.8822068762 4.23946  |  35.2105542046 27.0517333562 156.738729728 13 14 51 0.465907185227 0.414788719843 0.48449636691  |  49.4644613112 21.6641409635 24.973453628 85 50 34 0.0237372864924 0.020272428873 0.0439775294244
10 5 output/rmfs//5.rmf3 664 9755  |  651.250275346 23.6264943424 2.69176  |  35.7659407457 28.6303754452 155.202102392 14 13 53 0.427401525256 0.353849304186 0.488475020989  |  49.3182499008 22.3979089774 26.9223635873 85 50 33 0.0266253467477 0.0407321644998 0.12125645724
10 5 output/rmfs//5.rmf3 665 9756  |  634.251959573 11.4274963151 2.58754  |  35.7718576081 28.684040854 156.22035684 13 13 53 0.45803373999 0.34440969277 0.488475020989  |  48.4802931531 22.4844182154 25.0582763068 85 50 33 0.0266253467477 0.0288491785504 0.032490837184
10 5 output/rmfs//5.rmf3 666 9759  |  646.586329384 19.2297244705 3.23116  |  34.7905367945 30.2028550154 154.910823449 13 13 54 0.477089971926 0.405416618959 0.488475020989  |  50.3517604443 22.1573866249 26.1019340592 84 50 33 0.0432415028366 0.0105040126737 0.0579115726495
10 5 output/rmfs//5.rmf3 667 9760  |  625.800710146 8.19762463106 1.56194  |  34.5718606167 28.2000721494 155.641093647 14 13 50 0.477351481666 0.456948758153 0.488475020989  |  48.5317972746 21.6340088126 26.5333500168 85 50 33 0.0193971448695 0.0105040126737 0.0318906403024
10 5 output/rmfs//5.rmf3 668 9761  |  626.343443782 12.5578705405 1.96329  |  34.7469832918 28.0306349453 155.803593501 13 13 52 0.46102534612 0.42880621348 0.488475020989  |  45.9753145797 21.6409890908 26.5786677107 85 50 33 0.0193971448695 0.0105040126737 0.0553581407718
10 5 output/rmfs//5.rmf3 674 9785  |  649.729233567 35.2390603447 3.63507  |  35.1902967327 26.0697107489 156.2055597 13 15 51 0.483681948348 0.400339907854 0.489171251159  |  47.7015126937 21.1057461919 25.9161541825 85 50 33 0.0167033610682 0.019351222096 0.0437660536549
10 5 output/rmfs//5.rmf3 679 9804  |  626.615654635 9.30620021107 1.17444  |  35.2947181308 26.209440012 156.70871311 14 13 50 0.4752806536 0.438933288478 0.489273534642  |  46.9997859398 21.9886236173 27.8087658214 85 50 33 0.0167735469222 0.0224404027127 0.024278989819
10 5 output/rmfs//5.rmf3 680 9807  |  657.869376277 24.2452404177 9.58854  |  36.8375625708 26.3542720076 157.119439643 14 14 50 0.447892539614 0.420001864807 0.488974702512  |  48.1500505102 22.509924696 26.8458206169 85 50 33 0.0342292861958 0.0314859931851 0.0925958012781
13 7 output/rmfs//7.rmf3 1692 9365  |  629.490366984 26.109511239 1.32207  |  34.2847461382 29.3474510939 153.988887363 13 12 52 0.489295145557 0.484175534593 0.476627988582  |  45.5780463173 21.870770485 22.2583825793 85 50 34 0.0194786032942 0.0509928347082 0.0301321797875
13 7 output/rmfs//7.rmf3 1772 9603  |  630.746343179 29.3898824492 5.11239  |  35.2565767312 30.6026996442 153.182058118 13 12 50 0.369075319024 0.476715056766 0.489083597229  |  45.3098614513 21.1220777844 19.6923895162 85 50 34 0.0251584177266 0.0290517019022 0.0121163346986
13 7 output/rmfs//7.rmf3 1774 9607  |  623.403946675 23.5462669802 2.78521  |  34.5211905095 31.3688808709 152.672330245 13 12 51 0.456290901819 0.449346510046 0.489228886291  |  46.3352019649 20.9233882544 19.2973860725 85 50 34 0.0226587377015 0.0351469166536 0.0240084666673
13 7 output/rmfs//7.rmf3 1775 9608  |  615.967301384 22.3380028496 3.32753  |  34.4769666908 29.8962028181 151.977583595 13 13 51 0.398075845434 0.48174124513 0.485214719804  |  45.3778174311 21.036898749 18.8549209292 85 50 34 0.0305980987347 0.0351469166536 0.0240084666673
13 7 output/rmfs//7.rmf3 1776 9611  |  615.924080633 21.3180371527 3.1432  |  34.2304858379 29.5829354072 153.00555313 13 14 51 0.467232718105 0.481508803497 0.481450504653  |  45.2698572925 20.6959877452 20.5374707822 85 50 34 0.0119969265071 0.0144807578575 0.0135552264174
13 7 output/rmfs//7.rmf3 1777 9612  |  625.931865162 33.8230024386 1.05352  |  33.9275989217 29.5258407592 152.732369198 13 13 50 0.428554528977 0.486453121 0.47060974487  |  46.1391413899 20.4868535781 19.9378423491 85 50 34 0.0276990343037 0.0144807578575 0.0135552264174
13 7 output/rmfs//7.rmf3 1778 9613  |  623.599482005 28.0342066676 4.75516  |  33.7072211542 29.577579894 151.798254711 14 13 51 0.434468506954 0.488407973923 0.47060974487  |  44.5829554798 21.1854375066 21.2330349857 85 50 34 0.028437800811 0.0133071615679 0.0417774359968
13 7 output/rmfs//7.rmf3 1779 9614  |  626.767533666 33.3604644996 2.69259  |  33.6759676251 29.541681436 151.466594252 13 13 52 0.486544000362 0.484188852013 0.47060974487  |  45.3085183402 20.6737464556 21.3165341742 85 50 34 0.028437800811 0.0133071615679 0.0418909308035
13 7 output/rmfs//7.rmf3 1780 9617  |  613.907667566 27.7942415712 1.79806  |  33.5090842654 29.9063593918 152.084669458 14 12 52 0.470211043663 0.471425571641 0.477824315155  |  44.6987707941 20.8632867141 18.6056958309 85 50 34 0.0140436303128 0.0113509090299 0.0177522053698
